id,fluxes,equ,ec-code,kcat_MW,E
THMt2_num2,0,h_e + thm_e --> h_c + thm_c,,430780.3078,0
THMt2_num3,0,h_e + thm_e --> h_c + thm_c,,438097.0316,0
BG_MADG_num2,0,h2o_c + madg_c --> glc__D_c + meoh_c,3.2.1.21,202.3965489,0
BG_MBDG_num2,0,h2o_c + mbdg_c --> glc__D_c + meoh_c,3.2.1.21,202.3965489,0
LAAF_num2,0,araban__L_c + 2.0 h2o_c --> 3.0 arab__L_c,3.2.1.55,7795.609071,0
ACOAD2_num2,0,h_c + hx2coa_c + nadh_c --> hexscoa_c + nad_c,1.3.99.2,535.0580462,0
ACOAD2_num3,0,h_c + hx2coa_c + nadh_c --> hexscoa_c + nad_c,1.3.99.2,829.5811761,0
ACOAD3_num2,0,h_c + nadh_c + oc2coa_c --> nad_c + occoa_c,1.3.99.2,535.0580462,0
ACOAD3_num3,0,h_c + nadh_c + oc2coa_c --> nad_c + occoa_c,1.3.99.2,829.5811761,0
ACOAD4_1_num2,0,dc2coa_c + h_c + nadh_c --> dccoa_c + nad_c,1.3.99.2,535.0580462,0
ACOAD4_1_num3,0,dc2coa_c + h_c + nadh_c --> dccoa_c + nad_c,1.3.99.2,829.5811761,0
ACOAD5_num2,0,dd2coa_c + h_c + nadh_c --> ddcacoa_c + nad_c,1.3.99.2,535.0580462,0
ACOAD5_num3,0,dd2coa_c + h_c + nadh_c --> ddcacoa_c + nad_c,1.3.99.2,829.5811761,0
ACOAD6_num2,0,h_c + nadh_c + td2coa_c --> nad_c + tdcoa_c,1.3.99.2,535.0580462,0
ACOAD6_num3,0,h_c + nadh_c + td2coa_c --> nad_c + tdcoa_c,1.3.99.2,829.5811761,0
CYTB_B2_num2,0,2.0 h_c + mql7_c + 0.5 o2_c --> h2o_c + 2.0 h_e + mqn7_c,1.10.3.-,,
26DPAi_num2,0,23dhdp_c + nad_c --> DPA_c + h_c + nadh_c,4.2.1.52,9690.034449,0
rxn10197_num2,0.001280386,h2o_c + 30.0 udpacgal_c + 30.0 udpg_c --> tcam_c + 30.0 udp_c + 30.0 ump_c,,374392.7234,3.42E-09
rxn10199_num2,0,cpd15666_c + uaagtmda_c --> cpd15665_c + dtpcudcpp_c,2.4.1.129,6286.332397,0
rxn10199_num3,0.040001013,cpd15666_c + uaagtmda_c --> cpd15665_c + dtpcudcpp_c,2.4.1.129,7803.871493,5.13E-06
